iter	Passed	Remaining
588	19485	13597
589	19521	13566
590	19560	13536
591	19599	13507
592	19644	13482
593	19682	13453
594	19718	13421
595	19755	13391
596	19797	13364
597	19838	13336
598	19883	13311
599	19927	13285
600	19966	13255
601	20005	13226
602	20042	13195
603	20081	13166
604	20120	13136
605	20161	13108
606	20201	13079
607	20246	13053
608	20286	13024
609	20329	12997
610	20366	12966
611	20424	12948
612	20462	12918
613	20498	12886
614	20534	12854
615	20572	12824
616	20607	12792
617	20653	12766
618	20688	12734
619	20729	12705
620	20773	12678
621	20813	12648
622	20852	12618
623	20891	12588
624	20932	12559
625	20970	12528
626	21010	12498
627	21051	12469
628	21088	12438
629	21127	12408
630	21170	12380
631	21211	12350
632	21251	12321
633	21293	12292
634	21333	12262
635	21369	12230
636	21410	12201
637	21449	12170
638	21487	12139
639	21522	12106
640	21557	12073
641	21594	12041
642	21638	12013
643	21680	11985
644	21718	11953
645	21751	11919
646	21785	11886
647	21850	11869
648	21931	11861
649	21980	11835
650	22022	11806
651	22083	11786
652	22152	11771
653	22192	11740
654	22229	11708
655	22268	11677
656	22306	11645
657	22353	11618
658	22405	11593
659	22488	11585
660	22574	11577
661	22661	11570
662	22759	11568
663	22964	11620
664	23057	11615
665	23149	11609
666	23220	11593
667	23283	11572
668	23345	11550
669	23410	11530
670	23472	11508
671	23534	11487
672	23596	11465
673	23659	11443
674	23718	11419
675	23773	11394
676	23834	11371
677	23894	11348
678	24067	11377
679	24291	11431
680	24401	11430
681	24484	11416
682	24562	11399
683	24639	11383
684	24723	11369
685	24808	11355
686	24897	11343
687	24988	11332
688	25081	11321
689	25213	11327
690	25361	11340
691	25515	11356
692	25656	11365
693	25775	11365
694	25931	11380
695	26004	11358
696	26075	11335
697	26152	11315
698	26223	11292
699	26294	11269
700	26368	11247
701	26440	11223
702	26515	11202
703	26587	11178
704	26660	11155
705	26733	11132
706	26808	11109
707	26884	11088
708	26952	11062
709	27025	11038
710	27092	11012
711	27159	10985
712	27234	10962
713	27314	10940
714	27386	10916
715	27457	10890
716	27536	10868
717	27613	10845
718	27686	10820
719	27760	10795
720	27834	10771
721	27899	10742
722	27966	10714
723	28026	10684
724	28090	10654
725	28161	10628
726	28227	10599
727	28297	10572
728	28361	10543
729	28428	10514
730	28492	10485
731	28558	10455
732	28622	10425
733	28688	10396
734	28752	10366
735	28820	10337
736	28889	10309
737	28958	10280
738	29035	10254
739	29099	10224
740	29166	10194
741	29233	10164
742	29300	10134
743	29367	10104
744	29436	10075
745	29512	10048
746	29572	10015
747	29640	9985
748	29703	9954
749	29768	9922
750	29842	9894
751	29929	9870
752	30087	9869
753	30229	9862
754	30348	9848
755	30433	9822
756	30498	9790
757	30565	9758
758	30629	9725
759	30693	9692
760	30757	9659
761	30823	9627
762	30892	9595
763	30957	9562
764	31024	9530
765	31087	9496
766	31150	9462
767	31216	9429
768	31280	9396
769	31342	9362
770	31406	9328
771	31488	9299
772	31603	9280
773	31715	9260
774	31787	9228
775	31857	9195
776	31920	9161
777	32006	9133
778	32131	9115
779	32256	9098
780	32329	9065
781	32396	9031
782	32469	8998
783	32539	8964
784	32606	8930
785	32687	8899
786	32768	8868
787	32868	8842
788	32960	8814
789	33052	8786
790	33155	8760
791	33263	8735
792	33335	8701
793	33408	8667
794	33477	8632
795	33545	8597
796	33612	8561
797	33684	8526
798	33746	8489
799	33808	8452
800	33871	8415
801	33945	8380
802	34038	8350
803	34145	8324
804	34237	8293
805	34333	8263
806	34422	8232
807	34517	8202
808	34632	8176
809	34770	8156
810	34901	8133
811	34974	8097
812	35043	8060
813	35118	8024
814	35207	7991
815	35332	7967
816	35399	7929
817	35462	7890
818	35521	7850
819	35583	7810
820	35652	7773
821	35720	7734
822	35796	7698
823	35862	7659
824	35928	7621
825	35987	7580
826	36062	7543
827	36162	7511
828	36260	7479
829	36355	7446
830	36466	7416
831	36617	7393
832	36709	7359
833	36841	7333
834	36906	7292
835	36972	7252
836	37046	7214
